timestamp,sender,message,contact
2024-05-20 16:29:00,Ayush,<Media omitted>,WhatsApp Chat with Aaryaa Ranade
2024-05-20 16:30:00,Ayush,Ayush72 has invited you to join a Blend on Spotify. Join on the Spotify mobile app. [URL],WhatsApp Chat with Aaryaa Ranade
2024-05-20 16:32:00,Aaryaa Ranade,<Media omitted>,WhatsApp Chat with Aaryaa Ranade
2024-05-20 16:32:00,Ayush,<Media omitted>,WhatsApp Chat with Aaryaa Ranade
2024-05-20 16:33:00,Aaryaa Ranade,<Media omitted>,WhatsApp Chat with Aaryaa Ranade
2024-05-20 16:48:00,Ayush,<Media omitted>,WhatsApp Chat with Aaryaa Ranade
2024-05-20 16:48:00,Aaryaa Ranade,<Media omitted>,WhatsApp Chat with Aaryaa Ranade
2024-05-20 16:48:00,Aaryaa Ranade,<Media omitted>,WhatsApp Chat with Aaryaa Ranade
2024-05-20 16:48:00,Aaryaa Ranade,<Media omitted>,WhatsApp Chat with Aaryaa Ranade
2024-05-20 16:48:00,Aaryaa Ranade,<Media omitted>,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:02:00,Aaryaa Ranade,I'll reach home in like 20 ish mins,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:02:00,Ayush,bus bhetli?,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:02:00,Aaryaa Ranade,Attach,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:03:00,Ayush,text when u reach home,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:03:00,Aaryaa Ranade,Yes yes I will dw,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:03:00,Aaryaa Ranade,U too,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:03:00,Ayush,yessir,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:42:00,Aaryaa Ranade,Ayyy nice,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:42:00,Aaryaa Ranade,Heyoz,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:42:00,Aaryaa Ranade,I'm home,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:42:00,Ayush,i am at the door,WhatsApp Chat with Aaryaa Ranade
2024-05-20 18:43:00,Aaryaa Ranade,Yeah for some reason bus khupach crowded hoti,WhatsApp Chat with Aaryaa Ranade
