timestamp,sender,message,contact
2022-10-10 12:21:00,Ayush,Kal ved ko kyaa bol rhi thi tu,WhatsApp Chat with Krishna
2022-10-10 12:21:00,Krishna,Arey it was about the i not being w them the entire day,WhatsApp Chat with Krishna
2022-10-10 12:22:00,Ayush,Oh,WhatsApp Chat with Krishna
2022-10-10 22:43:00,Ayush,<Media omitted>,WhatsApp Chat with Krishna
2022-10-10 22:43:00,Ayush,Kuch hua kyaa,WhatsApp Chat with Krishna
2022-10-10 22:44:00,Krishna,Nahi aise as such kn hua hai,WhatsApp Chat with Krishna
2022-10-10 22:45:00,Ayush,I'm avoiding her kal,WhatsApp Chat with Krishna
2022-10-10 22:45:00,Ayush,I'm v annoyed,WhatsApp Chat with Krishna
2022-10-10 22:45:00,Ayush,Okay,WhatsApp Chat with Krishna
2022-10-10 22:46:00,Krishna,You say this every day,WhatsApp Chat with Krishna
2022-10-10 22:46:00,Krishna,Chill kar,WhatsApp Chat with Krishna
2022-10-10 22:46:00,Ayush,Nai fr iss bar,WhatsApp Chat with Krishna
2022-10-10 22:47:00,Ayush,Remind me if I forget,WhatsApp Chat with Krishna
2022-10-10 22:49:00,Ayush,Bhai but,WhatsApp Chat with Krishna
2022-10-10 22:49:00,Krishna,I can't yaar,WhatsApp Chat with Krishna
2022-10-10 22:49:00,Krishna,Its just yall are so cute together,WhatsApp Chat with Krishna
2022-10-10 22:50:00,Ayush,And she would jus leave me and say ki she lost feelings,WhatsApp Chat with Krishna
2022-10-10 22:50:00,Ayush,And it wouldn't matter coz we weren't dating,WhatsApp Chat with Krishna
2022-10-10 22:50:00,Ayush,It feels like ki I'm just being kept on hold,WhatsApp Chat with Krishna
2022-10-10 22:50:00,Ayush,Until someone better comes in her life,WhatsApp Chat with Krishna
2022-10-10 22:51:00,Krishna,Haa woh hai But dekh if i remind you to avoid her Wouldn't it be weird,WhatsApp Chat with Krishna
2022-10-10 22:52:00,Ayush,Nai mat kar,WhatsApp Chat with Krishna
2022-10-10 22:52:00,Ayush,I'll sit somewhere else jaake,WhatsApp Chat with Krishna
2022-10-10 22:52:00,Ayush,Piche jaake baithta hu,WhatsApp Chat with Krishna
2022-10-10 22:52:00,Ayush,And istg if she comes there she's the most confusing person I've ever met,WhatsApp Chat with Krishna
2022-10-10 22:57:00,Krishna,Full woh bhi,WhatsApp Chat with Krishna
2022-10-10 22:57:00,Krishna,You guys need to talk clearly about all of this,WhatsApp Chat with Krishna
2022-10-10 22:57:00,Ayush,She texted ILY,WhatsApp Chat with Krishna
2022-10-10 22:57:00,Krishna,Bhai don't forget we are friends so maybe as a friend she may come,WhatsApp Chat with Krishna
2022-10-10 22:57:00,Ayush,<Media omitted>,WhatsApp Chat with Krishna
2022-10-10 22:58:00,Ayush,Don't expect me to avoid her ab,WhatsApp Chat with Krishna
2022-10-10 23:04:00,Krishna,Wtf,WhatsApp Chat with Krishna
2022-10-15 21:51:00,Ayush,Did sehersha text you?,WhatsApp Chat with Krishna
2022-10-15 21:54:00,Krishna,Yes,WhatsApp Chat with Krishna
2022-10-15 21:54:00,Ayush,What,WhatsApp Chat with Krishna
2022-10-15 21:55:00,Krishna,She said ig me and ayush are okay now,WhatsApp Chat with Krishna
2022-10-15 21:57:00,Ayush,Please don't tell this to ANYONE,WhatsApp Chat with Krishna
2022-10-15 21:57:00,Ayush,I'm just pretending things are good between us kyuki I didn't like the way apne group ke dynamics changed just because of us not talking,WhatsApp Chat with Krishna
2022-10-15 21:59:00,Ayush,"And she mentioned ki how I was her best friend to uske baad usne pucha ki, are we good? Toh I said ki only if I am back to being your best friend again",WhatsApp Chat with Krishna
2022-10-15 21:59:00,Ayush,To she said ki a million times yes,WhatsApp Chat with Krishna
2022-10-15 22:00:00,Ayush,If I am the one that got hurt I should be the ONLY one to get hurt,WhatsApp Chat with Krishna
2022-10-15 22:00:00,Ayush,"So I'm hoping ki ""we good"" ""we good"" ki acting karte karte we'll be good",WhatsApp Chat with Krishna
2022-10-15 22:14:00,Krishna,Yeahh yeahh,WhatsApp Chat with Krishna
