timestamp,sender,message,contact
2022-09-27 23:20:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-27 23:21:00,Ayush,Big L,WhatsApp Chat with sehersha
2022-09-27 23:21:00,sehersha,so there's something to look forward to after losing also,WhatsApp Chat with sehersha
2022-09-27 23:21:00,Ayush,Not very intimidating,WhatsApp Chat with sehersha
2022-09-27 23:21:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-27 23:21:00,Ayush,Kal ka,WhatsApp Chat with sehersha
2022-09-27 23:21:00,Ayush,Exams,WhatsApp Chat with sehersha
2022-09-27 23:21:00,Ayush,Ka kya karegi,WhatsApp Chat with sehersha
2022-09-27 23:21:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-27 23:22:00,Ayush,I DON'T HAVE THE STICKERS RN,WhatsApp Chat with sehersha
2022-09-27 23:22:00,Ayush,Call me after ur exams tomorrow,WhatsApp Chat with sehersha
2022-09-27 23:22:00,Ayush,Also,WhatsApp Chat with sehersha
2022-09-27 23:22:00,Ayush,Hum nahi hote tabhi maze karne rehte kya clg,WhatsApp Chat with sehersha
2022-09-27 23:23:00,sehersha,okay,WhatsApp Chat with sehersha
2022-09-27 23:23:00,Ayush,Kya kya kiya,WhatsApp Chat with sehersha
2022-09-27 23:24:00,Ayush,r u studying,WhatsApp Chat with sehersha
2022-09-27 23:24:00,Ayush,aur,WhatsApp Chat with sehersha
2022-09-27 23:24:00,sehersha,bas photos nikaale bohot saare,WhatsApp Chat with sehersha
2022-09-27 23:25:00,sehersha,nope,WhatsApp Chat with sehersha
2022-09-27 23:25:00,sehersha,nahi ho raha,WhatsApp Chat with sehersha
2022-09-27 23:25:00,sehersha,subhe karungi,WhatsApp Chat with sehersha
2022-09-27 23:25:00,Ayush,Kya karne wali hai,WhatsApp Chat with sehersha
2022-09-27 23:25:00,sehersha,vo important questions,WhatsApp Chat with sehersha
2022-09-27 23:25:00,Ayush,I'm so glad meko paper nahi dena kal,WhatsApp Chat with sehersha
2022-09-27 23:26:00,sehersha,im so jealous,WhatsApp Chat with sehersha
2022-09-27 23:26:00,Ayush,As u shoul be,WhatsApp Chat with sehersha
2022-09-27 23:26:00,Ayush,Should,WhatsApp Chat with sehersha
2022-09-27 23:26:00,Ayush,*,WhatsApp Chat with sehersha
2022-09-27 23:27:00,Ayush,"Padhai karle, online bando se baat karke marks nahi milte",WhatsApp Chat with sehersha
2022-09-27 23:27:00,sehersha,so rahi hu,WhatsApp Chat with sehersha
2022-09-27 23:27:00,sehersha,online bande kya hota hai,WhatsApp Chat with sehersha
2022-09-27 23:28:00,Ayush,Sleep,WhatsApp Chat with sehersha
2022-09-27 23:28:00,Ayush,Nocturnal for nothing,WhatsApp Chat with sehersha
2022-09-27 23:28:00,Ayush,Jkjk,WhatsApp Chat with sehersha
2022-09-27 23:28:00,Ayush,Idk,WhatsApp Chat with sehersha
2022-09-27 23:28:00,Ayush,Bande who r online?!?!,WhatsApp Chat with sehersha
2022-09-27 23:29:00,sehersha,no because if i stay up rn I won't be able to study in the morning,WhatsApp Chat with sehersha
2022-09-27 23:29:00,Ayush,Yes sehersha,WhatsApp Chat with sehersha
2022-09-27 23:30:00,Ayush,Yes same,WhatsApp Chat with sehersha
2022-09-27 23:30:00,sehersha,otherwise the sticker,WhatsApp Chat with sehersha
2022-09-27 23:30:00,Ayush,Hopefully shouldn't be of use,WhatsApp Chat with sehersha
2022-09-27 23:30:00,sehersha,okay baby,WhatsApp Chat with sehersha
2022-09-27 23:30:00,sehersha,do well tmrw,WhatsApp Chat with sehersha
2022-09-27 23:31:00,sehersha,hopefully,WhatsApp Chat with sehersha
2022-09-27 23:31:00,Ayush,GN bb,WhatsApp Chat with sehersha
2022-09-27 23:33:00,sehersha,you're so lucky hmph,WhatsApp Chat with sehersha
2022-09-27 23:33:00,sehersha,goodnight,WhatsApp Chat with sehersha
2022-09-27 23:34:00,Ayush,I've got u,WhatsApp Chat with sehersha
2022-09-28 17:24:00,sehersha,kya chaalu hai,WhatsApp Chat with sehersha
2022-09-28 17:24:00,sehersha,i haven't seen you in so long,WhatsApp Chat with sehersha
2022-09-28 18:26:00,Ayush,Ligament,WhatsApp Chat with sehersha
2022-09-28 18:26:00,Ayush,Yea,WhatsApp Chat with sehersha
2022-09-28 18:26:00,Ayush,I might have badly injured my knee,WhatsApp Chat with sehersha
2022-09-28 18:26:00,sehersha,send pics,WhatsApp Chat with sehersha
2022-09-28 18:27:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-28 18:27:00,Ayush,Also relay hare meri wajah se,WhatsApp Chat with sehersha
2022-09-28 18:27:00,sehersha,teri wajah se matlab,WhatsApp Chat with sehersha
2022-09-28 18:27:00,Ayush,My knees started hurting badly,WhatsApp Chat with sehersha
2022-09-28 18:28:00,sehersha,shit,WhatsApp Chat with sehersha
2022-09-28 18:29:00,sehersha,toh ab,WhatsApp Chat with sehersha
2022-09-28 18:49:00,Ayush,Pata nahi,WhatsApp Chat with sehersha
2022-09-28 18:51:00,sehersha,ghar pohonchke dekh,WhatsApp Chat with sehersha
2022-09-28 18:52:00,sehersha,you know,WhatsApp Chat with sehersha
2022-09-28 18:52:00,sehersha,i mean,WhatsApp Chat with sehersha
2022-09-28 18:52:00,sehersha,that doesn't make sense,WhatsApp Chat with sehersha
2022-09-28 18:52:00,sehersha,but,WhatsApp Chat with sehersha
2022-09-28 18:56:00,Ayush,Right right,WhatsApp Chat with sehersha
2022-09-28 18:59:00,sehersha,let me know?,WhatsApp Chat with sehersha
2022-09-28 19:04:00,Ayush,Yess I will,WhatsApp Chat with sehersha
2022-09-28 19:05:00,sehersha,okay,WhatsApp Chat with sehersha
2022-09-28 19:06:00,sehersha,ily,WhatsApp Chat with sehersha
2022-09-28 19:06:00,Ayush,ILY2,WhatsApp Chat with sehersha
2022-09-28 20:34:00,sehersha,ayush,WhatsApp Chat with sehersha
2022-09-28 20:34:00,Ayush,Hii,WhatsApp Chat with sehersha
2022-09-28 20:34:00,sehersha,you reached school abhi?,WhatsApp Chat with sehersha
2022-09-28 20:34:00,Ayush,Yeahhh,WhatsApp Chat with sehersha
2022-09-28 20:35:00,sehersha,toh kal ka kya,WhatsApp Chat with sehersha
2022-09-28 20:39:00,sehersha,please,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Btw,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Abhi,WhatsApp Chat with sehersha
2022-09-28 20:39:00,sehersha,abhi ke baadme,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Doctor ke pas Jana hai,WhatsApp Chat with sehersha
2022-09-28 20:39:00,sehersha,jaao phir,WhatsApp Chat with sehersha
2022-09-28 20:39:00,sehersha,kya,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Idk,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Hanji,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Vo dress code ka kya scene hai,WhatsApp Chat with sehersha
2022-09-28 20:40:00,sehersha,im wearing black and black,WhatsApp Chat with sehersha
2022-09-28 20:41:00,Ayush,Upar black pehenna hai?,WhatsApp Chat with sehersha
2022-09-28 20:42:00,sehersha,yes baby,WhatsApp Chat with sehersha
2022-09-28 20:42:00,sehersha,it's blue neeche,WhatsApp Chat with sehersha
2022-09-28 20:42:00,sehersha,bola hai,WhatsApp Chat with sehersha
2022-09-28 20:42:00,Ayush,mere pas nhiye blue,WhatsApp Chat with sehersha
2022-09-28 20:42:00,Ayush,Mai pehenra kuch bhi,WhatsApp Chat with sehersha
2022-09-28 20:42:00,Ayush,Aya toh,WhatsApp Chat with sehersha
2022-09-28 20:43:00,sehersha,black and blue college mein diya,WhatsApp Chat with sehersha
2022-09-28 20:43:00,Ayush,Ye clg ne diya ya hum hamara decide karre,WhatsApp Chat with sehersha
2022-09-28 20:43:00,sehersha,aise mat kar,WhatsApp Chat with sehersha
2022-09-28 20:43:00,sehersha,yaar radhe,WhatsApp Chat with sehersha
2022-09-28 20:44:00,sehersha,black t shirt blue jeans,WhatsApp Chat with sehersha
2022-09-28 20:44:00,Ayush,Mai clg nahi aya so pata jahi,WhatsApp Chat with sehersha
2022-09-28 20:44:00,Ayush,Nahi,WhatsApp Chat with sehersha
2022-09-28 20:45:00,sehersha,college mein kuch nahi bola,WhatsApp Chat with sehersha
2022-09-28 20:45:00,sehersha,message kiya hai gaur ne,WhatsApp Chat with sehersha
2022-09-28 20:46:00,sehersha,"Good Evening Instructions to the students coming for the picnic on 29th Sept 2022 1. Reporting Time - 7.00am. Dispersal Time - 8.30 pm 2. Dress code- Black T-shirt ( sleeveless not allowed and blue jeans( no shorts) Please carry an extra pair of clothes. 3. Comfortable shoes 4. Students will not be allowed to keep any expensive belongings in the bus. 5. You can carry their water bottles inside. 6. No outside eatables are allowed inside Imagica. Breakfast, Lunch and Evening snacks will be arranged by the organiser. Thank you",WhatsApp Chat with sehersha
2022-09-28 20:46:00,Ayush,Oh,WhatsApp Chat with sehersha
2022-09-28 21:56:00,Ayush,Thank you,WhatsApp Chat with sehersha
2022-09-29 00:39:00,sehersha,theek hai?,WhatsApp Chat with sehersha
2022-09-29 05:54:00,Ayush,Kinda,WhatsApp Chat with sehersha
2022-09-29 06:20:00,sehersha,okay,WhatsApp Chat with sehersha
2022-09-30 00:00:00,sehersha,you were amazing today. thankyou. i love you.,WhatsApp Chat with sehersha
2022-09-30 08:08:00,Ayush,so were you... I'm never forgetting yesterday,WhatsApp Chat with sehersha
2022-09-30 08:09:00,Ayush,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 11:07:00,Ayush,I love you,WhatsApp Chat with sehersha
2022-09-30 11:24:00,Ayush,Use block Kiya rahega kisine toh,WhatsApp Chat with sehersha
2022-09-30 11:25:00,sehersha,samjha mujhe,WhatsApp Chat with sehersha
2022-09-30 11:26:00,Ayush,Kyaa timepass keliye dala,WhatsApp Chat with sehersha
2022-09-30 11:26:00,sehersha,he must've done something blick worthy,WhatsApp Chat with sehersha
2022-09-30 11:26:00,sehersha,block,WhatsApp Chat with sehersha
2022-09-30 11:26:00,Ayush,Yea,WhatsApp Chat with sehersha
2022-09-30 11:26:00,Ayush,who cares,WhatsApp Chat with sehersha
2022-09-30 11:26:00,sehersha,yup,WhatsApp Chat with sehersha
2022-09-30 12:28:00,Ayush,Sky ke hai?,WhatsApp Chat with sehersha
2022-09-30 12:28:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:28:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:29:00,Ayush,Or any unshared pics,WhatsApp Chat with sehersha
2022-09-30 12:29:00,sehersha,unshared,WhatsApp Chat with sehersha
2022-09-30 12:29:00,sehersha,i have yesterday's sun,WhatsApp Chat with sehersha
