timestamp,sender,message,contact
2022-09-27 23:21:00,Ayush,Big L,WhatsApp Chat with sehersha
2022-09-27 23:21:00,Ayush,Ka kya karegi,WhatsApp Chat with sehersha
2022-09-27 23:21:00,Ayush,Not very intimidating,WhatsApp Chat with sehersha
2022-09-27 23:21:00,Ayush,Kal ka,WhatsApp Chat with sehersha
2022-09-27 23:21:00,Ayush,Exams,WhatsApp Chat with sehersha
2022-09-27 23:22:00,Ayush,I DON'T HAVE THE STICKERS RN,WhatsApp Chat with sehersha
2022-09-27 23:22:00,Ayush,Call me after ur exams tomorrow,WhatsApp Chat with sehersha
2022-09-27 23:22:00,Ayush,Also,WhatsApp Chat with sehersha
2022-09-27 23:22:00,Ayush,Hum nahi hote tabhi maze karne rehte kya clg,WhatsApp Chat with sehersha
2022-09-27 23:23:00,Ayush,Kya kya kiya,WhatsApp Chat with sehersha
2022-09-27 23:24:00,Ayush,aur,WhatsApp Chat with sehersha
2022-09-27 23:24:00,Ayush,r u studying,WhatsApp Chat with sehersha
2022-09-27 23:25:00,Ayush,Kya karne wali hai,WhatsApp Chat with sehersha
2022-09-27 23:25:00,Ayush,I'm so glad meko paper nahi dena kal,WhatsApp Chat with sehersha
2022-09-27 23:26:00,Ayush,As u shoul be,WhatsApp Chat with sehersha
2022-09-27 23:26:00,Ayush,Should,WhatsApp Chat with sehersha
2022-09-27 23:26:00,Ayush,*,WhatsApp Chat with sehersha
2022-09-27 23:27:00,Ayush,"Padhai karle, online bando se baat karke marks nahi milte",WhatsApp Chat with sehersha
2022-09-27 23:28:00,Ayush,Sleep,WhatsApp Chat with sehersha
2022-09-27 23:28:00,Ayush,Jkjk,WhatsApp Chat with sehersha
2022-09-27 23:28:00,Ayush,Idk,WhatsApp Chat with sehersha
2022-09-27 23:28:00,Ayush,Nocturnal for nothing,WhatsApp Chat with sehersha
2022-09-27 23:28:00,Ayush,Bande who r online?!?!,WhatsApp Chat with sehersha
2022-09-27 23:29:00,Ayush,Yes sehersha,WhatsApp Chat with sehersha
2022-09-27 23:30:00,Ayush,Yes same,WhatsApp Chat with sehersha
2022-09-27 23:30:00,Ayush,Hopefully shouldn't be of use,WhatsApp Chat with sehersha
2022-09-27 23:31:00,Ayush,GN bb,WhatsApp Chat with sehersha
2022-09-27 23:34:00,Ayush,I've got u,WhatsApp Chat with sehersha
2022-09-28 18:26:00,Ayush,I might have badly injured my knee,WhatsApp Chat with sehersha
2022-09-28 18:26:00,Ayush,Yea,WhatsApp Chat with sehersha
2022-09-28 18:26:00,Ayush,Ligament,WhatsApp Chat with sehersha
2022-09-28 18:27:00,Ayush,Also relay hare meri wajah se,WhatsApp Chat with sehersha
2022-09-28 18:27:00,Ayush,My knees started hurting badly,WhatsApp Chat with sehersha
